Library File,Total Negative Slack (TNS),Worst Negative Slack (WNS),Worst Setup Slack (Worst Slack),Worst Hold Slack (Worst Slack)
sky130_fd_sc_hd__ff_100C_1v65.lib,0.0,0.0,0.2111,-0.4626
sky130_fd_sc_hd__ff_100C_1v95.lib,0.0,0.0,2.5674,-0.5208
sky130_fd_sc_hd__ff_n40C_1v56.lib,-1193.3677,-4.4555,-4.4555,-0.4029
sky130_fd_sc_hd__ff_n40C_1v65.lib,-108.6873,-2.0103,-2.0103,-0.4425
sky130_fd_sc_hd__ff_n40C_1v76.lib,-0.0201,-0.0101,-0.0101,-0.4776
sky130_fd_sc_hd__ff_n40C_1v95.lib,0.0,0.0,2.0716,-0.5198
sky130_fd_sc_hd__ss_100C_1v40.lib,-17688.2051,-24.8781,-24.8781,0.2628
sky130_fd_sc_hd__ss_100C_1v60.lib,-9087.0791,-13.5343,-13.5343,-0.0131
sky130_fd_sc_hd__ss_n40C_1v28.lib,-80471.7031,-117.1601,-117.1601,1.1634
sky130_fd_sc_hd__ss_n40C_1v35.lib,-50354.4688,-72.0574,-72.0574,0.6975
sky130_fd_sc_hd__ss_n40C_1v40.lib,-38594.0156,-54.5613,-54.5613,0.4748
sky130_fd_sc_hd__ss_n40C_1v44.lib,-32623.3867,-45.9168,-45.9168,0.3375
sky130_fd_sc_hd__ss_n40C_1v60.lib,-15937.9834,-22.9076,-22.9076,0.0082
sky130_fd_sc_hd__ss_n40C_1v76.lib,-9395.4395,-13.914,-13.914,-0.2038
sky130_fd_sc_hd__tt_025C_1v80.lib,-411.7515,-2.7791,-2.7791,-0.4003
sky130_fd_sc_hd__tt_100C_1v80.lib,-121.4369,-1.9982,-1.9982,-0.402
